Category: All categories

Week,covid: (Worldwide)
2018-07-22,0
2018-07-29,0
2018-08-05,<1
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,<1
2018-09-09,0
2018-09-16,<1
2018-09-23,<1
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,<1
2018-10-28,0
2018-11-04,<1
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,<1
2018-12-23,0
2018-12-30,<1
2019-01-06,<1
2019-01-13,<1
2019-01-20,0
2019-01-27,<1
2019-02-03,<1
2019-02-10,<1
2019-02-17,<1
2019-02-24,<1
2019-03-03,<1
2019-03-10,<1
2019-03-17,<1
2019-03-24,<1
2019-03-31,<1
2019-04-07,<1
2019-04-14,<1
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,<1
2019-05-19,<1
2019-05-26,0
2019-06-02,<1
2019-06-09,<1
2019-06-16,<1
2019-06-23,<1
2019-06-30,0
2019-07-07,<1
2019-07-14,<1
2019-07-21,<1
2019-07-28,0
2019-08-04,<1
2019-08-11,<1
2019-08-18,<1
2019-08-25,0
2019-09-01,0
2019-09-08,<1
2019-09-15,<1
2019-09-22,0
2019-09-29,<1
2019-10-06,<1
2019-10-13,<1
2019-10-20,<1
2019-10-27,<1
2019-11-03,0
2019-11-10,<1
2019-11-17,0
2019-11-24,0
2019-12-01,<1
2019-12-08,<1
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,<1
2020-01-12,0
2020-01-19,<1
2020-01-26,<1
2020-02-02,<1
2020-02-09,1
2020-02-16,1
2020-02-23,4
2020-03-01,7
2020-03-08,26
2020-03-15,66
2020-03-22,81
2020-03-29,80
2020-04-05,69
2020-04-12,65
2020-04-19,59
2020-04-26,59
2020-05-03,56
2020-05-10,54
2020-05-17,49
2020-05-24,45
2020-05-31,44
2020-06-07,42
2020-06-14,44
2020-06-21,49
2020-06-28,51
2020-07-05,54
2020-07-12,53
2020-07-19,53
2020-07-26,55
2020-08-02,49
2020-08-09,47
2020-08-16,44
2020-08-23,43
2020-08-30,46
2020-09-06,43
2020-09-13,44
2020-09-20,42
2020-09-27,44
2020-10-04,48
2020-10-11,50
2020-10-18,50
2020-10-25,57
2020-11-01,51
2020-11-08,59
2020-11-15,63
2020-11-22,55
2020-11-29,52
2020-12-06,58
2020-12-13,60
2020-12-20,65
2020-12-27,64
2021-01-03,67
2021-01-10,65
2021-01-17,63
2021-01-24,58
2021-01-31,55
2021-02-07,52
2021-02-14,49
2021-02-21,53
2021-02-28,57
2021-03-07,59
2021-03-14,61
2021-03-21,64
2021-03-28,68
2021-04-04,69
2021-04-11,62
2021-04-18,65
2021-04-25,73
2021-05-02,63
2021-05-09,63
2021-05-16,60
2021-05-23,55
2021-05-30,57
2021-06-06,51
2021-06-13,49
2021-06-20,61
2021-06-27,53
2021-07-04,53
2021-07-11,65
2021-07-18,70
2021-07-25,66
2021-08-01,73
2021-08-08,68
2021-08-15,67
2021-08-22,68
2021-08-29,62
2021-09-05,55
2021-09-12,52
2021-09-19,46
2021-09-26,44
2021-10-03,42
2021-10-10,43
2021-10-17,40
2021-10-24,36
2021-10-31,37
2021-11-07,40
2021-11-14,44
2021-11-21,47
2021-11-28,54
2021-12-05,49
2021-12-12,71
2021-12-19,79
2021-12-26,95
2022-01-02,100
2022-01-09,87
2022-01-16,91
2022-01-23,56
2022-01-30,48
2022-02-06,42
2022-02-13,34
2022-02-20,29
2022-02-27,27
2022-03-06,26
2022-03-13,27
2022-03-20,26
2022-03-27,23
2022-04-03,23
2022-04-10,21
2022-04-17,20
2022-04-24,19
2022-05-01,18
2022-05-08,18
2022-05-15,18
2022-05-22,17
2022-05-29,17
2022-06-05,18
2022-06-12,17
2022-06-19,19
2022-06-26,22
2022-07-03,23
2022-07-10,22
2022-07-17,22
2022-07-24,18
2022-07-31,16
2022-08-07,14
2022-08-14,13
2022-08-21,12
2022-08-28,12
2022-09-04,11
2022-09-11,11
2022-09-18,11
2022-09-25,11
2022-10-02,11
2022-10-09,11
2022-10-16,10
2022-10-23,10
2022-10-30,9
2022-11-06,9
2022-11-13,10
2022-11-20,10
2022-11-27,11
2022-12-04,10
2022-12-11,11
2022-12-18,13
2022-12-25,12
2023-01-01,10
2023-01-08,8
2023-01-15,7
2023-01-22,6
2023-01-29,6
2023-02-05,6
2023-02-12,6
2023-02-19,5
2023-02-26,6
2023-03-05,5
2023-03-12,5
2023-03-19,5
2023-03-26,6
2023-04-02,5
2023-04-09,5
2023-04-16,6
2023-04-23,5
2023-04-30,5
2023-05-07,5
2023-05-14,4
2023-05-21,4
2023-05-28,4
2023-06-04,3
2023-06-11,3
2023-06-18,3
2023-06-25,3
2023-07-02,3
2023-07-09,3
2023-07-16,3
